Infringement Id,Status
351413,Paid
457221,Due
356741,Due
356274,Paid
456900,Due
357727,Paid
457219,Due
303637,Due
355774,Outstanding
321549,Paid
457220,Paid
355448,Due
357815,Paid
352372,Paid
215693,Paid
182301,Paid
215692,Outstanding
215691,Paid
176402,Paid
174278,Paid
174276,Paid
174286,Paid
179019,Paid
338012,Paid
169481,Paid
169482,Paid
413380,Due
169480,Paid
168293,Paid
302532,Paid
164194,Paid
165566,Paid
165560,Paid
169829,Unmanaged
165554,Paid
165541,Paid
169828,Unmanaged
169827,Unmanaged
169826,Unmanaged
165544,Paid
165540,Paid
165542,Paid
169825,Unmanaged
169804,Unmanaged
165526,Paid
160977,Paid
169824,Unmanaged
169820,Unmanaged
169815,Unmanaged
169814,Unmanaged
169822,Unmanaged
302965,Paid
290716,Paid
169803,Unmanaged
169823,Unmanaged
169819,Unmanaged
165518,Paid
169821,Unmanaged
169817,Unmanaged
290617,Paid
169818,Unmanaged
169816,Unmanaged
169801,Unmanaged
326064,Outstanding
293581,Paid
246452,Paid
169810,Unmanaged
225352,Paid
326065,Outstanding
290572,Paid
169800,Unmanaged
169799,Unmanaged
169809,Unmanaged
293557,Paid
246451,Paid
169813,Unmanaged
326387,Outstanding
326388,Outstanding
169798,Unmanaged
293538,Paid
290714,Paid
169811,Unmanaged
326385,Outstanding
290675,Paid
169807,Unmanaged
246450,Paid
169808,Closed
245512,Paid
326067,Outstanding
169812,Unmanaged
326066,Paid
169806,Unmanaged
169805,Unmanaged
290618,Paid
326068,Outstanding
169802,Unmanaged
290569,Paid
290857,Paid
290859,Paid
290670,Paid
290861,Paid
326069,Outstanding
293535,Paid
326384,Outstanding
293484,Paid
326382,Outstanding
326381,Outstanding
153428,Unmanaged
326380,Outstanding
153391,Unmanaged
153427,Paid
290749,Paid
290568,Paid
326379,Outstanding
153418,Unmanaged
153390,Unmanaged
246448,Paid
153388,Unmanaged
153426,Unmanaged
290565,Paid
153387,Unmanaged
326378,Outstanding
153389,Unmanaged
293553,Paid
290693,Paid
246447,Paid
246449,Paid
153416,Unmanaged
147962,Paid
246446,Paid
147961,Paid
148266,Unmanaged
148265,Unmanaged
153432,Unmanaged
147963,Paid
153414,Unmanaged
153413,Unmanaged
153412,Unmanaged
148262,Unmanaged
290597,Paid
153425,Unmanaged
153411,Unmanaged
148011,Unmanaged
290860,Paid
246445,Paid
153424,Unmanaged
153423,Unmanaged
153402,Unmanaged
148269,Unmanaged
148272,Unmanaged
290748,Unmanaged
148271,Unmanaged
153407,Unmanaged
148270,Unmanaged
148259,Unmanaged
153422,Unmanaged
290668,Paid
326070,Outstanding
147954,Paid
326376,Outstanding
290603,Paid
290601,Paid
153430,Unmanaged
326377,Outstanding
148253,Unmanaged
147951,Paid
148261,Unmanaged
290596,Paid
290602,Paid
290823,Paid
153421,Unmanaged
148267,Unmanaged
153420,Unmanaged
326375,Outstanding
148256,Unmanaged
326374,Outstanding
153419,Unmanaged
293554,Paid
153417,Unmanaged
153405,Unmanaged
153404,Closed
148264,Unmanaged
153403,Unmanaged
413379,Due
246443,Paid
246444,Paid
148268,Unmanaged
148260,Unmanaged
148010,Unmanaged
153393,Unmanaged
148009,Unmanaged
246441,Paid
153431,Unmanaged
147933,Paid
283968,Unmanaged
143579,Paid
246442,Paid
283969,Unmanaged
153400,Unmanaged
134701,Paid
293531,Paid
290819,Paid
290598,Paid
147042,Outstanding
153415,Unmanaged
293416,Paid
283970,Unmanaged
148263,Unmanaged
293543,Paid
148258,Unmanaged
293532,Paid
290674,Paid
147940,Paid
148013,Unmanaged
290606,Paid
147942,Paid
153429,Unmanaged
148012,Unmanaged
144659,Unmanaged
144658,Paid
144657,Paid
153396,Unmanaged
144642,Unmanaged
153401,Unmanaged
144654,Unmanaged
148254,Unmanaged
153395,Unmanaged
153410,Unmanaged
144648,Unmanaged
290672,Paid
148255,Unmanaged
153409,Unmanaged
153394,Unmanaged
144656,Paid
148257,Unmanaged
153408,Unmanaged
144655,Unmanaged
290667,Paid
144016,Unmanaged
144014,Paid
144002,Paid
148252,Unmanaged
144015,Paid
293395,Paid
144009,Closed
245514,Paid
144004,Paid
144007,Unmanaged
153406,Unmanaged
144012,Paid
148249,Unmanaged
144011,Unmanaged
144005,Paid
148248,Unmanaged
144008,Unmanaged
141170,Paid
144006,Paid
153399,Unmanaged
144010,Unmanaged
144013,Unmanaged
290821,Paid
144653,Paid
144652,Unmanaged
144647,Paid
144649,Paid
144650,Paid
144651,Unmanaged
144645,Paid
144644,Unmanaged
144643,Paid
105495,Paid
290595,Paid
153398,Unmanaged
148251,Unmanaged
148250,Unmanaged
143577,Unmanaged
144646,Paid
153397,Unmanaged
143576,Paid
143575,Paid
283971,Unmanaged
290691,Paid
143572,Paid
148015,Unmanaged
143578,Unmanaged
143571,Closed
283972,Unmanaged
143569,Paid
148014,Closed
290867,Paid
143574,Paid
245513,Paid
143570,Paid
143573,Unmanaged
290880,Paid
144638,Unmanaged
144640,Unmanaged
143061,Paid
143081,Unmanaged
143075,Paid
143078,Unmanaged
143076,Paid
143080,Paid
143072,Paid
143079,Paid
290877,Paid
144641,Unmanaged
144634,Unmanaged
143077,Unmanaged
143058,Unmanaged
143074,Paid
143073,Unmanaged
144637,Unmanaged
143062,Paid
143066,Unmanaged
142497,Unmanaged
144632,Closed
143068,Unmanaged
143064,Paid
143071,Paid
143070,Paid
143069,Paid
142065,Paid
143059,Paid
144636,Unmanaged
143065,Unmanaged
142234,Paid
246440,Paid
144633,Unmanaged
143060,Unmanaged
290862,Paid
